deleted,balanced_accuracy,macro_f1,minority_recall,noise_precision_deleted,clean_minority_deletion_rate,dataset,model,seed,method,budget
31,0.5523809523809524,0.5257452574525745,0.13333333333333333,1.0,0.0,credit-g,hgb,61,oracle_deletion,0.05
31,0.5523809523809524,0.5375,0.17333333333333334,0.22580645161290322,0.0,credit-g,hgb,61,crcc_p_l0,0.05
31,0.5523809523809524,0.5375,0.17333333333333334,0.22580645161290322,0.0,credit-g,hgb,61,crcc_p_l025,0.05
31,0.5523809523809524,0.5375,0.17333333333333334,0.22580645161290322,0.0,credit-g,hgb,61,crcc_p_l05,0.05
31,0.5523809523809524,0.5375,0.17333333333333334,0.22580645161290322,0.0,credit-g,hgb,61,crcc_p_l10,0.05
31,0.579047619047619,0.5750777000777001,0.22666666666666666,0.12903225806451613,0.0,credit-g,hgb,61,crcc_m,0.05
0,0.5171428571428571,0.473741764400339,0.08,0.0,0.0,credit-g,hgb,83,no_cleaning,0.05
31,0.5228571428571429,0.4781664857643817,0.08,0.16129032258064516,0.0967741935483871,credit-g,hgb,83,random_deletion,0.05
31,0.54,0.5096590451113678,0.12,0.5161290322580645,0.4838709677419355,credit-g,hgb,83,global_top_loss,0.05
31,0.5438095238095237,0.5292362622581986,0.17333333333333334,0.1935483870967742,0.0967741935483871,credit-g,hgb,83,class_proportional,0.05
31,0.5342857142857143,0.5046366014107949,0.12,1.0,0.0,credit-g,hgb,83,oracle_deletion,0.05
31,0.5438095238095237,0.5292362622581986,0.17333333333333334,0.1935483870967742,0.0967741935483871,credit-g,hgb,83,crcc_p_l0,0.05
31,0.5438095238095237,0.5292362622581986,0.17333333333333334,0.1935483870967742,0.0967741935483871,credit-g,hgb,83,crcc_p_l025,0.05
31,0.5438095238095237,0.5292362622581986,0.17333333333333334,0.1935483870967742,0.0967741935483871,credit-g,hgb,83,crcc_p_l05,0.05
31,0.5438095238095237,0.5292362622581986,0.17333333333333334,0.1935483870967742,0.0967741935483871,credit-g,hgb,83,crcc_p_l10,0.05
31,0.5314285714285714,0.5143745143745144,0.16,0.12903225806451613,0.03225806451612903,credit-g,hgb,83,crcc_m,0.05
0,0.5525383395029085,0.5561176297726748,0.11475409836065574,0.0,0.0,yeast,lr,13,no_cleaning,0.05
55,0.5525383395029085,0.5561176297726748,0.11475409836065574,0.21818181818181817,0.07272727272727272,yeast,lr,13,random_deletion,0.05
55,0.605076679005817,0.6327487346145944,0.22950819672131148,0.7454545454545455,0.23636363636363636,yeast,lr,13,global_top_loss,0.05
55,0.7053146483342148,0.731613214371835,0.45901639344262296,0.4727272727272727,0.03636363636363636,yeast,lr,13,class_proportional,0.05
55,0.5902961396086727,0.6131835032437443,0.19672131147540983,1.0,0.0,yeast,lr,13,oracle_deletion,0.05
55,0.7053146483342148,0.731613214371835,0.45901639344262296,0.4727272727272727,0.03636363636363636,yeast,lr,13,crcc_p_l0,0.05
55,0.7053146483342148,0.731613214371835,0.45901639344262296,0.4727272727272727,0.03636363636363636,yeast,lr,13,crcc_p_l025,0.05
55,0.7053146483342148,0.731613214371835,0.45901639344262296,0.4727272727272727,0.03636363636363636,yeast,lr,13,crcc_p_l05,0.05
55,0.7053146483342148,0.731613214371835,0.45901639344262296,0.4727272727272727,0.03636363636363636,yeast,lr,13,crcc_p_l10,0.05
55,0.7135113696456901,0.7392987964416535,0.47540983606557374,0.4,0.03636363636363636,yeast,lr,13,crcc_m,0.05
0,0.5229772607086198,0.5025792523576866,0.04918032786885246,0.0,0.0,yeast,lr,29,no_cleaning,0.05
55,0.5229772607086198,0.5025792523576866,0.04918032786885246,0.18181818181818182,0.05454545454545454,yeast,lr,29,random_deletion,0.05
55,0.6279217345319936,0.6670866983599671,0.26229508196721313,0.8,0.2,yeast,lr,29,global_top_loss,0.05
55,0.7198307773664727,0.7645977385503945,0.45901639344262296,0.5272727272727272,0.01818181818181818,yeast,lr,29,class_proportional,0.05
55,0.547567424643046,0.5466922674114156,0.09836065573770492,1.0,0.0,yeast,lr,29,oracle_deletion,0.05
55,0.7198307773664727,0.7645977385503945,0.45901639344262296,0.5272727272727272,0.01818181818181818,yeast,lr,29,crcc_p_l0,0.05
