noise_level,dataset,model,method,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,minority_recall_mean,minority_recall_std,noise_precision_deleted_mean,noise_precision_deleted_std,clean_minority_deletion_rate_mean,clean_minority_deletion_rate_std
low,phoneme,lr,crcc_p_l025,0.6813,0.0137,0.6922,0.0127,0.4831,0.0347,0.184,0.0129,0.0356,0.0126
low,phoneme,lr,crcc_p_l05,0.6813,0.0137,0.6922,0.0127,0.4831,0.0347,0.184,0.0129,0.0356,0.0126
low,phoneme,lr,crcc_p_l10,0.6813,0.0137,0.6922,0.0127,0.4831,0.0347,0.184,0.0129,0.0356,0.0126
low,phoneme,lr,global_top_loss,0.5544,0.0056,0.5292,0.0079,0.1326,0.0088,0.3585,0.0528,0.6415,0.0528
low,phoneme,lr,no_cleaning,0.5364,0.0076,0.4917,0.0159,0.0822,0.0191,0.0,0.0,0.0,0.0
low,phoneme,lr,oracle_deletion,0.5446,0.0036,0.5128,0.0069,0.113,0.0099,1.0,0.0,0.0,0.0
low,phoneme,lr,random_deletion,0.5378,0.0031,0.4953,0.0059,0.0867,0.0085,0.0576,0.0106,0.1353,0.0137
low,pima,hgb,class_proportional,0.6827,0.0331,0.6916,0.0357,0.4806,0.0679,0.1727,0.0471,0.05,0.0337
low,pima,hgb,crcc_m,0.6788,0.0325,0.6869,0.0347,0.4776,0.0761,0.1227,0.0305,0.0091,0.0124
low,pima,hgb,crcc_p_l0,0.6827,0.0331,0.6916,0.0357,0.4806,0.0679,0.1727,0.0471,0.05,0.0337
low,pima,hgb,crcc_p_l025,0.6827,0.0331,0.6916,0.0357,0.4806,0.0679,0.1727,0.0471,0.05,0.0337
low,pima,hgb,crcc_p_l05,0.6827,0.0331,0.6916,0.0357,0.4806,0.0679,0.1727,0.0471,0.05,0.0337
low,pima,hgb,crcc_p_l10,0.6827,0.0331,0.6916,0.0357,0.4806,0.0679,0.1727,0.0471,0.05,0.0337
low,pima,hgb,global_top_loss,0.6048,0.0474,0.5904,0.0701,0.2448,0.0959,0.35,0.0523,0.55,0.0296
low,pima,hgb,no_cleaning,0.5995,0.0493,0.5895,0.0652,0.2597,0.0835,0.0,0.0,0.0,0.0
